employeeID,CountryOfBirth,name,phone,email,gender,birthdate,hiredate,department,role,salary,SSID
786579303,USA,Luis Todd,(660)578-5500x9338,epowell@example.org,male,1981-01-22,2020-01-15,Finance,Senior Financial Analyst,90287,148-60-6647
126855092,USA,Cindy Bailey,777.355.2478,amberford@example.net,female,1997-04-20,2023-06-06,Engineering,Engineering Manager,187766,335-04-6859
395310485,India,Pranit Balakrishnan,431.213.6157,robin30@example.com,male,1971-01-22,2022-03-14,Engineering,VP Engineering,235998,644-42-9249
339670711,India,Gaurangi Sarna,001-606-992-2492,crystalholt@example.org,female,1989-07-31,2014-05-01,Engineering,Software Engineer,108314,573-66-8629
890779946,USA,Derrick Good,7994562485,baldwinpatricia@example.net,male,1986-09-20,2014-02-15,Sales,Sales Representative,65307,046-24-4451
826600539,India,Eshana Kara,001-427-805-7482x551,joshuameza@example.org,female,1973-11-21,2023-12-15,Engineering,Software Engineer,137130,197-50-8379
685582861,USA,Daniel Evans,204.394.9566,lorihood@example.com,male,1966-03-09,2024-11-20,Engineering,Senior Software Engineer,135205,278-22-3599
734036506,USA,Samantha Stevens,(382)872-6728x7461,laurennash@example.net,female,2002-04-11,2024-10-24,Operations,Operations Analyst,78445,773-87-0355
134126396,USA,Corey Olsen,915-703-7002x178,jillowen@example.com,male,1972-10-15,2024-04-08,Legal,Senior Counsel,171078,637-28-5566
200604502,USA,Christina Morgan,+1-408-470-2312,garrettmonica@example.com,female,1982-09-21,2011-06-16,Operations,Operations Manager,97595,755-14-6356
349817734,USA,Ethan Chambers,(822)207-8794x09868,jamesmurray@example.org,male,1971-10-16,2021-05-03,Engineering,Engineering Manager,170328,834-18-4534
746412689,USA,Raymond Wilson,557.241.3799,stephanie99@example.net,male,1976-01-05,2020-09-30,Engineering,Senior Software Engineer,118935,062-29-0750
702632297,USA,Destiny Johnson,232.974.9365,ndavis@example.org,female,1962-01-27,2017-03-23,Legal,Senior Counsel,197519,464-69-8872
868820204,Mexico,Elsa Armas,361.418.5580,julieclark@example.org,male,1999-11-03,2022-09-06,Marketing,Marketing Director,161071,854-97-1229
853041955,USA,Holly Olson,001-807-700-4524x8957,jessicabates@example.com,female,1986-06-24,2018-09-21,Engineering,Software Engineer,115328,841-73-4310
